District_Name,Transaction_count
Jhalawar ,204.5
Jhansi ,450.25
Jhargram ,72.25
Jharsuguda ,200.0
Jhunjhunu ,629.25
Jind ,255.25
Jiribam ,3.25
Jodhpur ,1037.0
Jogulamba Gadwal ,146.25
Jorhat ,138.25
Junagadh ,130.25
Kabirdham ,74.5
Kachchh ,765.0
Kaimur Bhabua ,119.75
Kaithal ,210.75
Kakching ,5.25
Kalaburagi ,879.75
Kalahandi ,172.75
Kalimpong ,29.0
Kallakkurichi ,138.0
Kamareddy ,343.0
Kamjong ,2.0
Kamle ,1.5
Kamrup ,203.75
Kamrup Metropolitan ,1299.75
Kancheepuram ,1392.75
Kandhamal ,85.25
Kangpokpi ,10.5
Kangra ,336.0
Kanker ,124.0
Kannauj ,103.75
Kanniyakumari ,248.75
Kannur ,740.75
Kanpur Dehat ,136.25
Kanpur Nagar ,1516.5
Kapurthala ,91.75
Karaikal ,54.25
Karauli ,175.25
Karbi Anglong ,98.25
Kargil ,14.0
Karimganj ,99.5
Karimnagar ,867.0
Karnal ,440.0
Karur ,165.75
Kasaragod ,355.75
Kasganj ,105.0
Kathua ,100.5
Katihar ,383.25
Katni ,183.5
Kaushambi ,105.75
Kendrapara ,158.5
Kendujhar ,308.5
Khagaria ,208.5
Khammam ,922.0
Khargone ,278.5
Kheda ,249.5
Kheri ,201.75
Khordha ,1823.75
Khowai ,22.75
Khunti ,74.0
Kinnaur ,20.25
Kiphire ,1.0
Kishanganj ,133.5
Kishtwar ,17.5
Koch Bihar ,512.25
Kodagu ,200.25
Koderma ,112.0
Kohima ,11.0
Kokrajhar ,80.5
Kolar ,684.25
Kolasib ,3.5
Kolhapur ,1480.75
Kolkata ,3929.0
Kollam ,843.5
Kondagaon ,83.5
Koppal ,335.75
Koraput ,202.25
Korba ,313.0
Korea ,89.0
Kota ,713.5
Kottayam ,552.5
Kozhikode ,1187.25
Kra Daadi ,1.3333333333333333
Krishna ,3115.0
Krishnagiri ,831.25
Kulgam ,24.0
Kullu ,99.5
Kumuram Bheem Asifabad ,141.75
Kupwara ,41.75
Kurnool ,1154.25
Kurukshetra ,240.75
Kurung Kumey ,2.0
Kushinagar ,341.5
Lahul And Spiti ,6.75
Lakhimpur ,107.5
Lakhisarai ,108.75
Lakshadweep ,9.75
Lalitpur ,92.5
Latehar ,70.5
Latur ,858.5
Lawngtlai ,5.75
Leh Ladakh ,72.5
Lepa Rada ,2.3333333333333335
Lohardaga ,89.5
Lohit ,13.5
Longding ,2.0
Longleng ,2.5
Lower Dibang Valley ,10.75
Lower Siang ,3.3333333333333335
Lower Subansiri ,6.25
Lucknow ,2306.5
Ludhiana ,902.5
Lunglei ,8.25
Madhepura ,192.0
Madhubani ,511.0
Madurai ,920.75
Mahabubabad ,282.75
Maharajganj ,223.0
Mahasamund ,149.5
Mahbubnagar ,337.25
Mahe ,12.75
Mahendragarh ,472.25
Mahesana ,424.25
Mahisagar ,65.25
Mahoba ,71.0
Mainpuri ,181.0
Majuli ,17.5
Malappuram ,1080.75
Maldah ,830.0
Malkangiri ,75.25
Mamit ,7.0
Mancherial ,602.25
Mandi ,148.0
Mandla ,113.75
Mandsaur ,252.75
Mandya ,632.0
Mansa ,213.5
Marigaon ,99.5
Mathura ,489.5
Mau ,225.25
Mayurbhanj ,262.75
Medak ,207.75
Medchal Malkajgiri ,5229.5
Meerut ,1069.75
Mewat ,243.0
Mirpur ,2.5
Mirzapur ,213.0
Moga ,61.75
Mokokchung ,6.25
Mon ,3.25
Moradabad ,908.75
Morbi ,174.0
Morena ,159.5
Mulugu ,107.5
Mumbai ,2461.5
Mumbai Suburban ,6409.25
Mungeli ,39.75
Munger ,235.0
Murshidabad ,566.75
Muzaffarabad ,2.0
Muzaffarnagar ,395.5
Muzaffarpur ,1002.0
Mysuru ,1993.0
Nabarangpur ,96.0
Nadia ,680.25
