District_Name,Transaction_count
Hingoli ,10899856.75
Hisar ,16784739.25
Hojai ,2907006.5
Hooghly ,30131092.5
Hoshangabad ,13850800.75
Hoshiarpur ,3657799.25
Howrah ,29698631.0
Hyderabad ,343864536.75
Idukki ,4544839.0
Imphal East ,413659.0
Imphal West ,600282.75
Indore ,153249496.75
Jabalpur ,31015347.0
Jagatsinghapur ,17172458.5
Jagtial ,18976434.0
Jaipur ,312095192.75
Jaisalmer ,13523603.75
Jajapur ,31434363.0
Jalandhar ,8547226.25
Jalaun ,8627665.5
Jalgaon ,46881843.5
Jalna ,26924494.75
Jalore ,13326311.25
Jalpaiguri ,9339100.0
Jammu ,13462774.5
Jamnagar ,6293410.75
Jamtara ,2018335.0
Jamui ,9931294.0
Jangaon ,14645982.75
Janjgir Champa ,14850927.5
Jashpur ,4926418.75
Jaunpur ,18461259.25
Jaya Shankar Bhalupally ,9232185.25
Jehanabad ,5923072.5
Jhabua ,5659494.75
Jhajjar ,15637188.5
Jhalawar ,14292189.75
Jhansi ,19239125.25
Jhargram ,3488362.5
Jharsuguda ,11753565.25
Jhunjhunu ,28714848.25
Jind ,6346904.5
Jiribam ,64825.25
Jodhpur ,68649391.5
Jogulamba Gadwal ,10901721.25
Jorhat ,3224168.5
Junagadh ,2517086.0
Kabirdham ,5341142.5
Kachchh ,19953022.0
Kaimur Bhabua ,7213778.75
Kaithal ,4023591.5
Kakching ,41685.25
Kalaburagi ,47905687.25
Kalahandi ,12768565.25
Kalimpong ,842906.0
Kallakkurichi ,6533531.0
Kamareddy ,17153669.0
Kamjong ,7359.5
Kamle ,57232.5
Kamrup ,6671802.5
Kamrup Metropolitan ,29896112.0
Kancheepuram ,32536920.5
Kandhamal ,4228384.5
Kangpokpi ,127678.75
Kangra ,6048631.25
Kanker ,4798890.75
Kannauj ,7062638.0
Kanniyakumari ,6837203.75
Kannur ,11378258.75
Kanpur Dehat ,6462222.0
Kanpur Nagar ,34801446.25
Kapurthala ,5784609.0
Karaikal ,921960.75
Karauli ,14800099.5
Karbi Anglong ,1955559.0
Kargil ,617960.5
Karimganj ,4138737.0
Karimnagar ,37187558.25
Karnal ,11280336.0
Karur ,4514797.75
Kasaragod ,5676201.5
Kasganj ,5425289.0
Kathua ,2542268.0
Katihar ,22778745.75
Katni ,9908267.0
Kaushambi ,3598246.75
Kendrapara ,15346964.5
Kendujhar ,22143851.0
Khagaria ,9346017.0
Khammam ,38255234.0
Khargone ,17473617.5
Kheda ,6418190.0
Kheri ,9886612.75
Khordha ,136700893.0
Khowai ,380024.0
Khunti ,1483147.5
Kinnaur ,484241.5
Kiphire ,39051.5
Kishanganj ,10394500.5
Kishtwar ,697192.75
Koch Bihar ,14364134.25
Kodagu ,8439817.0
Koderma ,9803244.0
Kohima ,533772.25
Kokrajhar ,3332222.25
Kolar ,43747842.75
Kolasib ,126751.75
Kolhapur ,40248956.5
Kolkata ,73987397.0
Kollam ,9857801.75
Kondagaon ,3075436.75
Koppal ,23021818.75
Koraput ,13257781.0
Korba ,16047190.0
Korea ,5130439.0
Kota ,46433043.75
Kottayam ,7273588.0
Kozhikode ,18935048.5
Kra Daadi ,58886.5
Krishna ,149146047.75
Krishnagiri ,32685812.5
Kulgam ,1664124.75
Kullu ,2757137.5
Kumuram Bheem Asifabad ,7246254.0
Kupwara ,3082130.25
Kurnool ,87646924.75
Kurukshetra ,6665463.75
Kurung Kumey ,44881.25
Kushinagar ,19659002.5
